model_id,autoencoder,embedding,pretext_loss,cluster_loss,metric,embedding_dim,n_clusters,dim_reduction,reduced_dim,run_1_train_SC,run_1_train_DBI,run_1_test_SC,run_1_test_DBI,run_1_train_time,run_2_train_SC,run_2_train_DBI,run_2_test_SC,run_2_test_DBI,run_2_train_time,run_3_train_SC,run_3_train_DBI,run_3_test_SC,run_3_test_DBI,run_3_train_time,run_4_train_SC,run_4_train_DBI,run_4_test_SC,run_4_test_DBI,run_4_train_time,run_5_train_SC,run_5_train_DBI,run_5_test_SC,run_5_test_DBI,run_5_train_time
63628dd34b68c3e97c1f7c62,fcnn,mse,mse,None,None,10,2,None,None,0.6577437520027161,0.4778761479612887,0.6577437520027161,0.4778759532538548,5.225601673126221,0.5810686349868774,0.61313672079827,0.5810686945915222,0.6131361979691222,3.8919103145599365,0.6881713271141052,0.4197877135052402,0.6881713271141052,0.4197879016574435,2.596240520477295,0.5878766775131226,0.5864576899764541,0.5878766179084778,0.5864572857199886,2.6179757118225098,0.7022020220756531,0.3996670825162548,0.7022020220756531,0.3996667187556451,2.6310837268829346
63628dd34b68c3e97c1f7c65,fcnn,mse,mse,None,None,10,4,None,None,0.4342127740383148,0.8590170571257805,0.43403923511505127,0.8617571769390957,2.6559767723083496,0.49661025404930115,0.7298049058637981,0.49661025404930115,0.7298047147611769,2.684464454650879,0.6107099056243896,0.5330776393108521,0.6107098460197449,0.5330776819887271,2.627063035964966,0.46521908044815063,0.8672848924213009,0.46521908044815063,0.8672848258089222,2.652916669845581,0.4376174807548523,0.7682165339080554,0.4370364546775818,0.7697193658882422,2.6854443550109863
63628dd34b68c3e97c1f7c68,fcnn,mse,mse,None,None,10,6,None,None,0.4824800491333008,0.8349988482183957,0.48268479108810425,0.834663003761575,2.6280527114868164,0.41939571499824524,0.7879667910435916,0.41910693049430847,0.7880980294935228,2.6745123863220215,-1.0,-1.0,-1.0,-1.0,2.674431800842285,0.5939759016036987,0.5101981238987768,0.5936474800109863,0.5100591884614506,2.7129030227661133,0.38146916031837463,0.8862098557744723,0.38146913051605225,0.8862103604574191,2.6937265396118164
63628dd34b68c3e97c1f7c74,fcnn,mse,mse,dtc,eucl,10,2,None,5.0,0.4548569917678833,0.47503256567213736,0.4250733554363251,0.4800520634617509,34.72096800804138,0.5414880514144897,0.49073326859394123,0.4652848243713379,0.3849956328839467,35.18304085731506,0.26715707778930664,0.7146350867097377,0.17526939511299133,0.6315511283721107,34.18229389190674,0.9995555281639099,0.0,-1.0,-1.0,34.309043407440186,0.3855937123298645,0.7918926977303792,0.33815473318099976,0.7230612501627952,33.62581968307495
63628dd34b68c3e97c1f7c75,fcnn,mse,mse,dtc,eucl,10,2,PCA,5.0,0.40442362427711487,0.5582223997751942,0.3708534836769104,0.551018812371635,34.93150281906128,0.39774805307388306,0.8530745156785564,0.360650897026062,0.7179739527288636,34.551746129989624,0.6494744420051575,0.529208912922257,0.6037986278533936,0.29564471753658256,34.003318309783936,0.6507045030593872,0.27716230226575733,-1.0,-1.0,34.56989121437073,0.6792523264884949,0.4875249277723357,-1.0,-1.0,34.564106941223145
63628dd34b68c3e97c1f7c76,fcnn,mse,mse,dtc,eucl,10,2,UMAP,5.0,0.47359710931777954,0.8878982784154835,0.4173697829246521,0.6360409127209855,35.18621063232422,0.442852646112442,0.827715646609161,0.4076940715312958,0.731137331614466,34.85733509063721,0.1982230544090271,0.8515797085478618,0.13441051542758942,0.8544223696823193,34.6751184463501,0.8104450106620789,0.15500687120980403,-1.0,-1.0,34.323572397232056,0.4183770418167114,0.508852610617139,0.33763548731803894,0.4873605291609151,34.06876301765442
63628dd34b68c3e97c1f7c77,fcnn,mse,mse,dtc,eucl,10,4,None,5.0,-1.0,-1.0,-1.0,-1.0,35.20200562477112,-1.0,-1.0,-1.0,-1.0,34.820547342300415,0.5303022861480713,0.4130231171978688,0.5418606996536255,0.34854452811510855,35.033713579177856,0.19487152993679047,0.7136637419185836,-1.0,-1.0,35.05854392051697,0.22796601057052612,0.7378787206236423,-1.0,-1.0,34.559075593948364
63628dd34b68c3e97c1f7c78,fcnn,mse,mse,dtc,eucl,10,4,PCA,5.0,0.327060341835022,0.6140579326381107,-1.0,-1.0,35.80697417259216,0.5655319690704346,0.43887950824918565,-1.0,-1.0,34.89856958389282,-1.0,-1.0,-1.0,-1.0,35.349833488464355,-1.0,-1.0,-1.0,-1.0,34.924227714538574,0.5693226456642151,0.4701240235061601,-1.0,-1.0,34.416627168655396
63628dd44b68c3e97c1f7c79,fcnn,mse,mse,dtc,eucl,10,4,UMAP,5.0,0.466694712638855,0.4561565124069538,-1.0,-1.0,36.129316568374634,0.35215097665786743,0.7242879767859807,-1.0,-1.0,34.90899848937988,0.3190504014492035,0.8259359625306104,-1.0,-1.0,35.26383113861084,-1.0,-1.0,-1.0,-1.0,33.74936270713806,0.15452753007411957,0.9393937676665358,0.07832080125808716,0.9089845895216325,35.74273633956909
63628dd44b68c3e97c1f7c7a,fcnn,mse,mse,dtc,eucl,10,6,None,5.0,-1.0,-1.0,-1.0,-1.0,36.32864832878113,-1.0,-1.0,-1.0,-1.0,35.80263090133667,-1.0,-1.0,-1.0,-1.0,35.70073652267456,-1.0,-1.0,-1.0,-1.0,36.680630922317505,-1.0,-1.0,-1.0,-1.0,34.669665813446045
